,Heart Rate,Time
1285,80,02:31:18
1286,82,02:31:23
1287,83,02:31:28
1288,83,02:31:43
1289,83,02:31:58
1290,84,02:32:03
1291,83,02:32:08
1292,83,02:32:23
1293,88,02:32:28
1294,83,02:32:33
1295,80,02:32:38
1296,82,02:32:48
1297,80,02:32:53
1298,79,02:32:58
1299,78,02:33:03
1300,77,02:33:08
1301,77,02:33:15
1302,76,02:33:30
1303,77,02:33:45
1304,78,02:34:00
1305,77,02:34:05
1306,76,02:34:10
1307,75,02:34:25
1308,75,02:34:40
1309,75,02:34:45
1310,76,02:34:50
1311,74,02:34:55
1312,77,02:35:00
1313,73,02:35:05
1314,72,02:35:15
1315,75,02:35:20
1316,69,02:35:25
1317,73,02:35:30
1318,73,02:35:35
1319,72,02:35:40
1320,71,02:35:45
1321,71,02:35:55
1322,74,02:36:05
1323,71,02:36:15
1324,73,02:36:20
1325,72,02:36:25
1326,71,02:36:35
1327,73,02:36:40
1328,73,02:36:47
1329,74,02:36:52
1330,76,02:37:02
1331,70,02:37:07
1332,73,02:37:12
1333,76,02:37:17
1334,72,02:37:22
1335,70,02:37:27
1336,72,02:37:32
1337,73,02:37:37
1338,71,02:37:42
1339,73,02:37:47
1340,70,02:37:52
1341,72,02:37:57
1342,71,02:38:02
1343,74,02:38:07
1344,73,02:38:22
1345,70,02:38:27
1346,71,02:38:32
1347,74,02:38:42
1348,74,02:38:57
1349,76,02:39:02
1350,76,02:39:07
1351,76,02:39:12
1352,72,02:39:22
1353,73,02:39:27
1354,75,02:39:32
1355,73,02:39:39
